MONTH,CITY,STORE,STATUS,ZONE_MAPPING,ORDER_COUNT,CART_SALES,DISCOUNT,NET_REVENUE,IDEAL_FOOD_COST,GROSS_MARGIN,KITCHEN_EBITDA,VARIANCE,REVENUE_COHORT,CM_COHORT,EBITDA_CATEGORY,EBITDA_COHORT,GM_PERCENT,EBITDA_PERCENT,VARIANCE_PERCENT,REVENUE_BUCKET,VARIANCE_BUCKET,EBITDA_STATUS
2024-03-01,Pune,Burke-Johnson,Inactive,North,9838,3794151.56,960963.68,2874080.55,1371007.42,1401403.5,117905.37,16926.09,More than 40 lacs,10% to 20%,EBITDA +ve,More than 20%,48.76006345751166,4.102368320887876,1.2345731870656105,INR 25 to 35 lacs,Var <2%,Low Profit
2023-10-01,Ahmedabad,"Montoya, Wood and Miller",Active,West,14421,5577614.93,1170048.13,4483468.22,2065873.71,2351301.07,1050945.26,12015.56,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,0% to 10%,52.44379918901265,23.44045298039383,0.5816212260138592,INR 35 to 45 lacs,Var <2%,High Profit
2023-11-01,Ahmedabad,"Montoya, Wood and Miller",Active,West,10969,3376177.32,819526.81,2644431.32,1013370.81,1546226.85,159944.35,24798.18,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,More than 20%,58.47105342860635,6.048345774395079,2.4470983134002053,INR 25 to 35 lacs,Var 2-3%,Low Profit
2023-12-01,Ahmedabad,"Montoya, Wood and Miller",Active,West,9914,3178674.01,907139.32,2365666.17,1081522.81,1202212.0,-261736.42,27754.08,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,10% to 20%,50.819173696008,-11.06396258775599,2.5662038510311214,INR 15 to 25 lacs,Var 2-3%,Loss Making
2024-01-01,Ahmedabad,"Montoya, Wood and Miller",Active,West,11330,4998414.14,1476020.66,3620911.06,1327698.47,2228552.11,801787.76,15073.64,INR 20 to 30 lacs,More than 30%,EBITDA -ve,More than 20%,61.54672327135259,22.143260265553167,1.1353210341501712,INR 35 to 45 lacs,Var <2%,High Profit
2024-02-01,Ahmedabad,"Montoya, Wood and Miller",Active,West,11849,4665331.99,739200.82,4062250.34,1470036.08,2455354.35,1105067.24,21686.29,More than 40 lacs,More than 30%,EBITDA +ve,More than 20%,60.44320621559724,27.203326912639263,1.4752216149687973,INR 35 to 45 lacs,Var <2%,High Profit
2024-03-01,Ahmedabad,"Montoya, Wood and Miller",Active,West,9703,4341317.63,1247209.12,3132695.53,1320585.78,1739170.28,537696.83,27533.23,More than 40 lacs,0% to 10%,EBITDA +ve,0% to 10%,55.51673513576342,17.164030939195676,2.084925524489594,INR 25 to 35 lacs,Var 2-3%,Moderate Profit
2023-10-01,Bangalore,"Price, Blevins and Kim",Inactive,North,14418,4455792.56,685991.75,3830318.81,1853963.93,1842522.01,401871.45,22123.49,More than 40 lacs,More than 30%,EBITDA +ve,More than 20%,48.10362012659724,10.491853809944347,1.19330746634321,INR 35 to 45 lacs,Var <2%,Moderate Profit
2023-11-01,Bangalore,"Price, Blevins and Kim",Inactive,North,12565,5976468.54,1575097.51,4503951.14,1587267.59,2769886.17,1315242.73,20948.93,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,0% to 10%,61.499027940165455,29.20197597880691,1.3198108581049022,Above INR 45 lacs,Var <2%,High Profit
2023-12-01,Bangalore,"Price, Blevins and Kim",Inactive,North,14648,6690189.87,1401470.46,5361176.63,1852339.91,3360833.46,2137141.69,13845.78,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,0% to 10%,62.68835541051742,39.86329564374005,0.7474751218851621,Above INR 45 lacs,Var <2%,High Profit
2024-01-01,Bangalore,"Price, Blevins and Kim",Inactive,North,14570,6765697.92,1365063.41,5505983.64,1756495.56,3667329.8,2350484.37,24410.32,INR 20 to 30 lacs,More than 30%,EBITDA -ve,0% to 10%,66.60626038474753,42.6896359248899,1.3897171479328987,Above INR 45 lacs,Var <2%,High Profit
2024-02-01,Bangalore,"Price, Blevins and Kim",Inactive,North,13809,4244011.67,797303.55,3511048.4,1390623.26,2043500.82,759968.87,12551.61,More than 40 lacs,10% to 20%,EBITDA -ve,More than 20%,58.202012253661906,21.64506960371153,0.9025888147448362,INR 35 to 45 lacs,Var <2%,High Profit
2024-03-01,Bangalore,"Price, Blevins and Kim",Inactive,North,9472,3480859.28,991860.79,2567561.09,853542.67,1615237.44,208088.25,26417.23,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,0% to 10%,62.90940637365712,8.104510183241638,3.0950098839229674,INR 25 to 35 lacs,Var 3-5%,Low Profit
2023-10-01,Pune,"Taylor, Weiss and Rodgers",Inactive,East,11289,4643759.26,1094728.65,3616787.42,1229669.88,2276055.54,1072785.79,19431.52,More than 40 lacs,10% to 20%,EBITDA -ve,0% to 10%,62.93031012588515,29.661289576150985,1.5802224902833273,INR 35 to 45 lacs,Var <2%,High Profit
2023-11-01,Pune,"Taylor, Weiss and Rodgers",Inactive,East,9038,4147157.61,688448.43,3582637.27,1289983.3,2170494.31,741013.81,22482.03,INR 20 to 30 lacs,More than 30%,EBITDA -ve,0% to 10%,60.583702630883415,20.683472932217892,1.7428155852870342,INR 35 to 45 lacs,Var <2%,High Profit
2023-12-01,Pune,"Taylor, Weiss and Rodgers",Inactive,East,12984,5836592.04,1315614.88,4629289.63,1455473.21,3061045.61,1677037.5,26425.15,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,More than 20%,66.12344127623744,36.2266704837822,1.8155710334235557,Above INR 45 lacs,Var <2%,High Profit
2024-01-01,Pune,"Taylor, Weiss and Rodgers",Inactive,East,14326,5383199.55,1176498.44,4296415.95,1266619.08,2923246.04,1498733.71,28375.01,INR 20 to 30 lacs,More than 30%,EBITDA -ve,More than 20%,68.03917670029132,34.88334759580249,2.240216529818894,INR 35 to 45 lacs,Var 2-3%,High Profit
2024-02-01,Pune,"Taylor, Weiss and Rodgers",Inactive,East,14300,6928348.23,1774251.57,5262559.31,2494037.5,2707198.01,1313916.1,16926.92,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,More than 20%,51.442612814942315,24.967245452289262,0.6786954887406463,Above INR 45 lacs,Var <2%,High Profit
2024-03-01,Pune,"Taylor, Weiss and Rodgers",Inactive,East,10281,4072996.99,1172079.05,2969557.18,887081.7,1954425.91,647594.81,19364.64,INR 30 to 40 lacs,More than 30%,EBITDA -ve,More than 20%,65.81539911617395,21.807790547410843,2.1829601489919135,INR 25 to 35 lacs,Var 2-3%,High Profit
2023-10-01,Ahmedabad,"Elliott, Hunter and Hill",Inactive,West,10376,3188647.87,704085.47,2574624.99,940559.68,1568541.29,219837.94,12082.17,More than 40 lacs,10% to 20%,EBITDA +ve,10% to 20%,60.92309738669941,8.538639252468377,1.2845723941727971,INR 25 to 35 lacs,Var <2%,Low Profit
2023-11-01,Ahmedabad,"Elliott, Hunter and Hill",Inactive,West,10310,4267192.53,1208123.59,3197252.36,1497202.46,1635941.72,329574.78,26613.09,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,0% to 10%,51.1671127517754,10.308062764241734,1.7775211242973779,INR 25 to 35 lacs,Var <2%,Moderate Profit
2023-12-01,Ahmedabad,"Elliott, Hunter and Hill",Inactive,West,7804,2980209.71,693813.91,2398553.71,904601.84,1363966.34,101722.41,15481.1,More than 40 lacs,More than 30%,EBITDA -ve,More than 20%,56.86619958991871,4.2409894586017005,1.711371712443123,INR 15 to 25 lacs,Var <2%,Low Profit
2024-01-01,Ahmedabad,"Elliott, Hunter and Hill",Inactive,West,14184,5404807.78,1214026.49,4256906.66,1461225.1,2696254.17,1297672.79,28986.14,INR 20 to 30 lacs,More than 30%,EBITDA +ve,More than 20%,63.338343669485106,30.483938071594924,1.9836875235718299,INR 35 to 45 lacs,Var <2%,High Profit
2024-02-01,Ahmedabad,"Elliott, Hunter and Hill",Inactive,West,11150,4824986.7,1401776.66,3479490.15,1358792.01,2037273.75,759698.08,12736.37,INR 30 to 40 lacs,More than 30%,EBITDA +ve,0% to 10%,58.55092735353771,21.833603408821258,0.9373303571309638,INR 25 to 35 lacs,Var <2%,High Profit
2024-03-01,Ahmedabad,"Elliott, Hunter and Hill",Inactive,West,7329,3210923.19,732716.94,2595087.22,1052324.42,1402426.42,89210.96,24901.29,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,More than 20%,54.041590941209286,3.437686383427221,2.366313042512118,INR 25 to 35 lacs,Var 2-3%,Low Profit
2023-10-01,Mumbai,Bailey Inc,Active,North,9419,4416662.16,873903.17,3583341.94,1549617.88,1911247.38,546816.39,29958.68,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,0% to 10%,53.337008077995485,15.259955626785649,1.9332946777821123,INR 35 to 45 lacs,Var <2%,Moderate Profit
2023-11-01,Mumbai,Bailey Inc,Active,North,11124,5044040.51,1060709.45,4118934.08,1524382.92,2520673.45,1297132.64,27582.37,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,0% to 10%,61.197227269051126,31.49194949000009,1.8094121652845598,INR 35 to 45 lacs,Var <2%,High Profit
2023-12-01,Mumbai,Bailey Inc,Active,North,12421,5218803.5,1490274.2,3800285.2,1723616.73,2021973.93,593259.44,22458.75,More than 40 lacs,10% to 20%,EBITDA +ve,More than 20%,53.205847024323326,15.610918885772044,1.3030013928908661,INR 35 to 45 lacs,Var <2%,Moderate Profit
2024-01-01,Mumbai,Bailey Inc,Active,North,7892,3215160.43,768233.62,2519758.05,1196721.0,1192085.44,-88668.46,26493.62,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,More than 20%,47.30952005491162,-3.518927541475659,2.2138510145639625,INR 25 to 35 lacs,Var 2-3%,Loss Making
2024-02-01,Mumbai,Bailey Inc,Active,North,8591,3714940.86,860257.1,2942939.44,939439.42,1929631.02,484621.92,13862.66,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,0% to 10%,65.56815249993727,16.46727463749645,1.4756310736886045,INR 25 to 35 lacs,Var <2%,Moderate Profit
2024-03-01,Mumbai,Bailey Inc,Active,North,12644,5353284.79,1590878.07,3854964.19,1694578.06,2014086.93,614591.54,29377.56,More than 40 lacs,More than 30%,EBITDA +ve,More than 20%,52.246579494166454,15.942859899821793,1.7336209345233704,INR 35 to 45 lacs,Var <2%,Moderate Profit
2023-10-01,Mumbai,"Guzman, Pearson and Williams",Inactive,North,10747,4615994.79,1103958.45,3604570.96,1052070.84,2455646.18,950537.86,29290.41,INR 30 to 40 lacs,More than 30%,EBITDA -ve,0% to 10%,68.12589368472302,26.370346722207405,2.784072030738918,INR 35 to 45 lacs,Var 2-3%,High Profit
2023-11-01,Mumbai,"Guzman, Pearson and Williams",Inactive,North,8682,3080747.28,916820.06,2208132.57,799837.21,1310974.37,-204707.75,23711.31,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,10% to 20%,59.37027458455542,-9.270627714168448,2.9645169921514407,INR 15 to 25 lacs,Var 2-3%,Loss Making
2023-12-01,Mumbai,"Guzman, Pearson and Williams",Inactive,North,8763,3607574.05,663184.02,3052380.21,966092.96,1968241.59,443998.81,25516.09,INR 20 to 30 lacs,More than 30%,EBITDA +ve,More than 20%,64.48218945830475,14.545986392697783,2.6411630201714753,INR 25 to 35 lacs,Var 2-3%,Moderate Profit
2024-01-01,Mumbai,"Guzman, Pearson and Williams",Inactive,North,11337,4141318.37,942799.07,3241757.49,1317276.92,1794421.9,563602.76,27896.33,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,More than 20%,55.35336636177556,17.385716289345257,2.11772707594391,INR 25 to 35 lacs,Var 2-3%,Moderate Profit
2024-02-01,Mumbai,"Guzman, Pearson and Williams",Inactive,North,7899,3313592.37,886634.09,2525683.07,1038077.34,1376031.53,95872.23,14071.57,More than 40 lacs,0% to 10%,EBITDA +ve,0% to 10%,54.48155971524963,3.7958931244687006,1.3555415822871155,INR 25 to 35 lacs,Var <2%,Low Profit
2024-03-01,Mumbai,"Guzman, Pearson and Williams",Inactive,North,7902,3101729.32,869231.34,2310044.01,680080.85,1522095.62,100781.72,13593.66,INR 20 to 30 lacs,10% to 20%,EBITDA +ve,More than 20%,65.8903299422421,4.362761902531892,1.9988299920516803,INR 15 to 25 lacs,Var <2%,Low Profit
2023-10-01,Pune,"Green, Howard and Campbell",Inactive,East,7939,2973709.07,674711.63,2360087.15,951668.06,1348892.94,48552.37,18988.68,INR 20 to 30 lacs,More than 30%,EBITDA +ve,More than 20%,57.15436991383983,2.0572278443192236,1.9953049595885355,INR 15 to 25 lacs,Var <2%,Low Profit
2023-11-01,Pune,"Green, Howard and Campbell",Inactive,East,12895,5460116.92,1397880.47,4180511.16,1899156.83,2172818.89,943417.07,29302.37,More than 40 lacs,More than 30%,EBITDA -ve,0% to 10%,51.97495729206474,22.56702670780575,1.5429147049430352,INR 35 to 45 lacs,Var <2%,High Profit
2023-12-01,Pune,"Green, Howard and Campbell",Inactive,East,14978,4545462.9,902136.2,3717773.22,1175853.75,2477565.23,1122814.79,25370.39,INR 30 to 40 lacs,10% to 20%,EBITDA +ve,0% to 10%,66.64110701190106,30.201271663364125,2.1576144142075493,INR 35 to 45 lacs,Var 2-3%,High Profit
2024-01-01,Pune,"Green, Howard and Campbell",Inactive,East,7986,3882711.26,983991.68,2974597.4,1244576.61,1675199.59,134168.89,20889.78,INR 20 to 30 lacs,More than 30%,EBITDA -ve,10% to 20%,56.316851147654475,4.5104890497114,1.6784647752620063,INR 25 to 35 lacs,Var <2%,Low Profit
2024-02-01,Pune,"Green, Howard and Campbell",Inactive,East,8624,3153591.94,771151.98,2475787.12,918418.18,1448662.77,-31689.35,24937.51,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,More than 20%,58.51322023195596,-1.2799707108905227,2.715267461277824,INR 15 to 25 lacs,Var 2-3%,Loss Making
2024-03-01,Pune,"Green, Howard and Campbell",Inactive,East,9411,4621786.7,705908.07,4049956.95,1220305.15,2744489.53,1518435.97,20503.27,INR 20 to 30 lacs,More than 30%,EBITDA +ve,0% to 10%,67.76589390660065,37.49264470576656,1.6801756511475843,INR 35 to 45 lacs,Var <2%,High Profit
2023-10-01,Bangalore,Duffy-Bowen,Active,East,10654,3825378.98,1029069.36,2857637.94,1125452.63,1681926.91,221519.3,25333.12,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,More than 20%,58.85724312576841,7.751832270256043,2.2509272558188433,INR 25 to 35 lacs,Var 2-3%,Low Profit
2023-11-01,Bangalore,Duffy-Bowen,Active,East,10040,3863281.18,668145.09,3265318.04,1099046.62,2052475.34,796444.75,25452.45,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,0% to 10%,62.85682787579246,24.39103144758297,2.3158662732614563,INR 25 to 35 lacs,Var 2-3%,High Profit
2023-12-01,Bangalore,Duffy-Bowen,Active,East,11131,3529992.4,1002971.91,2591142.18,788319.04,1729451.93,250675.75,23800.1,INR 30 to 40 lacs,10% to 20%,EBITDA +ve,0% to 10%,66.74477160492984,9.674334042140442,3.0190949085791456,INR 25 to 35 lacs,Var 3-5%,Low Profit
2024-01-01,Bangalore,Duffy-Bowen,Active,East,8016,2678110.23,566210.56,2195049.69,785949.22,1261684.01,-95191.58,17618.19,INR 30 to 40 lacs,More than 30%,EBITDA +ve,0% to 10%,57.47860814941278,-4.336648069228902,2.241644822804201,INR 15 to 25 lacs,Var 2-3%,Loss Making
2024-02-01,Bangalore,Duffy-Bowen,Active,East,9817,4784722.99,1115177.0,3782097.82,1460116.33,2186838.99,795424.84,22819.44,More than 40 lacs,More than 30%,EBITDA +ve,0% to 10%,57.82079401637476,21.031313251437798,1.5628508175098623,INR 35 to 45 lacs,Var <2%,High Profit
2024-03-01,Bangalore,Duffy-Bowen,Active,East,12656,5252653.47,1165580.44,4212726.21,1995677.52,2100418.0,839830.21,17729.22,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,10% to 20%,49.858877489216184,19.935551662637007,0.8883810045623003,INR 35 to 45 lacs,Var <2%,Moderate Profit
2023-10-01,Bangalore,Scott and Sons,Inactive,South,12636,5763940.68,1262130.46,4612597.64,1471610.55,3060659.58,1760805.88,18282.6,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,0% to 10%,66.35435862556615,38.17384513946029,1.2423531483924193,Above INR 45 lacs,Var <2%,High Profit
2023-11-01,Bangalore,Scott and Sons,Inactive,South,8549,2867141.64,596542.69,2360126.36,980375.21,1267856.33,-26968.6,26213.72,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,10% to 20%,53.7198495592414,-1.1426761065454138,2.673845659561302,INR 15 to 25 lacs,Var 2-3%,Loss Making
2023-12-01,Bangalore,Scott and Sons,Inactive,South,10804,4093584.34,896155.27,3299849.58,1229849.79,1935912.63,555285.15,24326.47,INR 30 to 40 lacs,More than 30%,EBITDA -ve,0% to 10%,58.66669322545302,16.827589759409577,1.9780033462460485,INR 25 to 35 lacs,Var <2%,Moderate Profit
2024-01-01,Bangalore,Scott and Sons,Inactive,South,14788,6808781.34,1128930.88,5803687.32,2768582.12,2949621.06,1552420.9,29196.53,INR 20 to 30 lacs,10% to 20%,EBITDA +ve,0% to 10%,50.82322491488049,26.74887212910705,1.0545661546062428,Above INR 45 lacs,Var <2%,High Profit
2024-02-01,Bangalore,Scott and Sons,Inactive,South,11214,3458288.2,1021140.23,2545615.89,1119694.72,1363111.6,5698.05,26930.29,More than 40 lacs,More than 30%,EBITDA +ve,More than 20%,53.54741873488227,0.22383777624832474,2.4051457525851334,INR 25 to 35 lacs,Var 2-3%,Low Profit
2024-03-01,Bangalore,Scott and Sons,Inactive,South,8256,3375080.18,828280.5,2611709.16,920311.28,1614464.75,359643.55,21543.46,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,More than 20%,61.81640646388053,13.770428786948083,2.340888400281261,INR 25 to 35 lacs,Var 2-3%,Moderate Profit
2023-10-01,Bangalore,Richardson-Wade,Active,South,8304,3755270.65,653457.44,3220712.2,1175103.53,1975205.11,619313.08,16112.08,More than 40 lacs,0% to 10%,EBITDA +ve,0% to 10%,61.32820902159466,19.22907237722141,1.3711200408018516,INR 25 to 35 lacs,Var <2%,Moderate Profit
2023-11-01,Bangalore,Richardson-Wade,Active,South,10895,4362467.42,735979.26,3683329.5,1084522.06,2545900.3,1285225.86,22729.81,More than 40 lacs,0% to 10%,EBITDA +ve,10% to 20%,69.11953709273091,34.89304608778552,2.095836575237575,INR 35 to 45 lacs,Var 2-3%,High Profit
2023-12-01,Bangalore,Richardson-Wade,Active,South,13354,4162577.82,833080.62,3400534.47,1209211.08,2132463.35,680530.23,17244.71,INR 20 to 30 lacs,More than 30%,EBITDA +ve,More than 20%,62.70965252118147,20.01244910186133,1.426112469958512,INR 25 to 35 lacs,Var <2%,High Profit
2024-01-01,Bangalore,Richardson-Wade,Active,South,9097,3029836.11,772722.72,2375941.74,1053356.34,1234893.98,-143262.42,19441.21,More than 40 lacs,0% to 10%,EBITDA +ve,10% to 20%,51.97492679260729,-6.02971098104451,1.8456441815311992,INR 15 to 25 lacs,Var <2%,Loss Making
2024-02-01,Bangalore,Richardson-Wade,Active,South,13868,4351661.95,689991.72,3769425.29,1648811.51,1992942.72,778945.72,18375.87,More than 40 lacs,More than 30%,EBITDA -ve,10% to 20%,52.871261974262396,20.664840395337826,1.1144918560157309,INR 35 to 45 lacs,Var <2%,High Profit
2024-03-01,Bangalore,Richardson-Wade,Active,South,11991,5094797.11,1142111.72,4003105.0,1925826.26,2008977.2,674851.09,12819.19,INR 20 to 30 lacs,More than 30%,EBITDA -ve,0% to 10%,50.18547352617531,16.858191079174787,0.6656462353982026,INR 35 to 45 lacs,Var <2%,Moderate Profit
2023-10-01,Mumbai,"Hall, Smith and Brown",Active,North,13165,6187485.15,1549057.64,4715248.01,2132845.57,2527206.78,1222453.21,11304.09,More than 40 lacs,More than 30%,EBITDA -ve,10% to 20%,53.59647625406664,25.92553366031748,0.5300003975440192,Above INR 45 lacs,Var <2%,High Profit
2023-11-01,Mumbai,"Hall, Smith and Brown",Active,North,12373,4562328.94,877630.74,3748487.96,1422283.63,2257532.0,915166.19,20141.02,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,10% to 20%,60.22513675087274,24.414275829766837,1.4161043251267684,INR 35 to 45 lacs,Var <2%,High Profit
2023-12-01,Mumbai,"Hall, Smith and Brown",Active,North,9267,3154515.84,560348.4,2658897.92,1222921.11,1335456.13,-183966.2,13748.24,More than 40 lacs,More than 30%,EBITDA +ve,0% to 10%,50.22592706379642,-6.918889161416171,1.124213155499458,INR 25 to 35 lacs,Var <2%,Loss Making
2024-01-01,Mumbai,"Hall, Smith and Brown",Active,North,14644,5261559.27,1513914.76,3872968.56,1310610.56,2424375.81,1104215.07,10622.31,More than 40 lacs,0% to 10%,EBITDA -ve,0% to 10%,62.59735323025705,28.510819359710993,0.8104856106149487,INR 35 to 45 lacs,Var <2%,High Profit
2024-02-01,Mumbai,"Hall, Smith and Brown",Active,North,9940,4326240.99,859907.9,3582631.09,1227691.14,2235524.89,869294.07,18941.11,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,10% to 20%,62.39896974711957,24.264124554336963,1.5428237105303213,INR 35 to 45 lacs,Var <2%,High Profit
2024-03-01,Mumbai,"Hall, Smith and Brown",Active,North,9597,3314286.3,686858.63,2700150.54,799769.83,1837635.31,289089.7,10922.47,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,More than 20%,68.05677249387733,10.706428983029962,1.3657016794444472,INR 25 to 35 lacs,Var <2%,Moderate Profit
2023-10-01,Mumbai,Hammond Ltd,Inactive,West,13816,5440099.64,1061851.9,4479276.86,2051554.62,2318400.08,987682.82,23384.01,More than 40 lacs,0% to 10%,EBITDA +ve,10% to 20%,51.758356370050315,22.05005073073335,1.139819031481599,INR 35 to 45 lacs,Var <2%,High Profit
2023-11-01,Mumbai,Hammond Ltd,Inactive,West,7976,2495988.53,732257.32,1872789.53,643266.55,1162464.79,-318993.94,10058.42,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,10% to 20%,62.07129906370204,-17.03309073924607,1.5636472936452237,INR 15 to 25 lacs,Var <2%,Loss Making
2023-12-01,Mumbai,Hammond Ltd,Inactive,West,13716,5410943.77,848691.98,4637889.11,1923434.32,2643755.53,1500525.05,16904.46,INR 30 to 40 lacs,More than 30%,EBITDA +ve,More than 20%,57.003422619563224,32.35362067550597,0.8788685854373233,Above INR 45 lacs,Var <2%,High Profit
2024-01-01,Mumbai,Hammond Ltd,Inactive,West,7182,3410333.23,764023.73,2696915.27,1000036.89,1575475.12,206995.33,12420.5,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,More than 20%,58.41767212805318,7.675262634409719,1.2420041824657089,INR 25 to 35 lacs,Var <2%,Low Profit
2024-02-01,Mumbai,Hammond Ltd,Inactive,West,9459,3877402.36,1105246.53,2868501.67,1318317.1,1449969.21,165782.98,26160.45,INR 30 to 40 lacs,10% to 20%,EBITDA +ve,0% to 10%,50.5479646452498,5.7794276968296145,1.9843822097126707,INR 25 to 35 lacs,Var <2%,Low Profit
2024-03-01,Mumbai,Hammond Ltd,Inactive,West,8150,3004362.79,779259.67,2301554.62,795493.25,1411419.42,-89328.25,16917.55,More than 40 lacs,10% to 20%,EBITDA -ve,0% to 10%,61.32461110134331,-3.881213559902393,2.1266742363935833,INR 15 to 25 lacs,Var 2-3%,Loss Making
2023-10-01,Ahmedabad,Aguirre-Goodman,Active,East,10219,3760119.53,855750.21,3014886.72,1358839.67,1521874.71,215856.18,19757.02,More than 40 lacs,10% to 20%,EBITDA +ve,More than 20%,50.47866972593915,7.159677959641547,1.4539625561564598,INR 25 to 35 lacs,Var <2%,Low Profit
